SORT,Begrotingsprogramma,THEMA,Variabele,Label,Labelkort,Definitie,Bron,Peildatum,Verschijningsfrequentie,Rekeneenheid,Symbool,GROEP,format,Thema Kerncijfertabel,Kleurenpalet,LegendaCode,SD minimum Bevtotaal,SD minimum WvoorrBAG,Geenkerncijfer
4631,Economie en cultuur,Bedrijvigheid functie,BHWP_WINKVESTDG,Winkel: werkzame personen dagelijkse goederen,Winkel: WP dagelijkse goederen,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'winkels dagelijkse goederen'.  

De deelfunctie winkelvestigingen dagelijkse goederen valt onder de hoofdfunctie winkels.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4641,Economie en cultuur,Bedrijvigheid functie,BHWP_WINKVESTNDG,Winkel: werkzame personen niet-dagelijkse goederen,Winkel: WP niet-dagelijkse goederen,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'winkels niet-dagelijkse goederen'. 

De deelfunctie winkelvestigingen niet-dagelijkse goederen valt onder de hoofdfunctie winkels.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4651,Economie en cultuur,Bedrijvigheid functie,BHWP_POLBRAND,Voorzieningen: werkzame personen politie/brandweer,Voorzieningen: WP politie/brandweer,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'brandweer'.

De deelfunctie politie / brandweer valt onder de hoofdfunctie Voorzieningen.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4661,Economie en cultuur,Bedrijvigheid functie,BHWP_OND,Voorzieningen: werkzame personen onderwijs,Voorzieningen: WP onderwijs,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'onderwijs'. 

De deelfunctie politie / brandweer valt onder de hoofdfunctie Voorzieningen.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4671,Economie en cultuur,Bedrijvigheid functie,BHWP_GEZZORG,Voorzieningen: werkzame personen gezondheidszorg,Voorzieningen: WP gezondheidszorg,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'gezondheidszorg'. 

De deelfunctie Gezondheidszorg valt onder de hoofdfunctie Voorzieningen.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4681,Economie en cultuur,Bedrijvigheid functie,BHWP_WELZ,Voorzieningen: werkzame personen welzijnszorg,Voorzieningen: WP welzijnszorg,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'welzijnszorg'. 

De deelfunctie Welzijnszorg valt onder de hoofdfunctie Voorzieningen.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4691,Economie en cultuur,Bedrijvigheid functie,BHWP_CULT,Voorzieningen: werkzame personen cultuur,Voorzieningen: WP cultuur,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'cultuur'. 

De deelfunctie Cultuur valt onder de hoofdfunctie Voorzieningen.

Sinds 1 juli 2008 zijn ook vrije beroepen verplicht zich in te schrijven in het Handelregister. In 2008 leidde dit tot een toename van het aantal geregistreerde artsen en advocaten en in 2009 van de creatieve beroepen.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4701,Economie en cultuur,Bedrijvigheid functie,BHWP_SR,Voorzieningen: werkzame personen sport en recreatie,Voorzieningen: WP sport en recreatie,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'sport en recreatie'. 

De deelfunctie Sport en recreatie bank valt onder de hoofdfunctie Voorzieningen.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4711,Economie en cultuur,Bedrijvigheid functie,BHWP_HO,Horeca: werkzame personen hotel,Horeca: WP hotel,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'hotel'. 

De deelfunctie Hotel valt onder de hoofdfunctie Horeca.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4721,Economie en cultuur,Bedrijvigheid functie,BHWP_RE,Horeca: werkzame personen restaurant,Horeca: WP restaurant,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'restaurant'. 

De deelfunctie Restaurant bank valt onder de hoofdfunctie Horeca.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4731,Economie en cultuur,Bedrijvigheid functie,BHWP_CA,Horeca: werkzame personen café,Horeca: WP café,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'café'. 

De deelfunctie Café valt onder de hoofdfunctie Horeca.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4741,Economie en cultuur,Bedrijvigheid functie,BHWP_OVHRC,Horeca: werkzame personen overige horeca,Horeca: WP overige horeca,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'overige horeca'. 

De deelfunctie Overige horeca valt onder de hoofdfunctie Horeca.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4751,Economie en cultuur,Bedrijvigheid functie,BHWP_INDBW,Bedrijf: werkzame personen industrie / bouw,Bedrijf: WP industrie / bouw,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'industrie / bouw'. 

De deelfunctie Industrie / Bouw valt onder de hoofdfunctie Bedrijven.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4761,Economie en cultuur,Bedrijvigheid functie,BHWP_ONDERH,Bedrijf: werkzame personen onderhoud / reparatie,Bedrijf: WP onderhoud / reparatie,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie onderhoud / reparatie. 

De deelfunctie Onderhoud / Reparatie valt onder de hoofdfunctie Bedrijven.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4771,Economie en cultuur,Bedrijvigheid functie,BHWP_HANDEL,Bedrijf: werkzame personen handel,Bedrijf: WP handel,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'handel'. 

De deelfunctie Handel valt onder de hoofdfunctie Bedrijven.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4781,Economie en cultuur,Bedrijvigheid functie,BHWP_VOT,"Bedrijf: werkzame personen vervoer, opslag, telecommunicatie","Bedrijf: WP vervoer, opslag, telecommunicatie","Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'vervoer, opslag, telecommunicatie'.

De deelfunctie Vervoer, opslag, telecommunicatie valt onder de hoofdfunctie Bedrijven.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4791,Economie en cultuur,Bedrijvigheid functie,BHWP_MEDFILM,Bedrijf: werkzame personen media / filmproductie,Bedrijf: WP media / filmproductie,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie media / filmproductie. 

De deelfunctie Media / filmproductie valt onder de hoofdfunctie Bedrijven.

Sinds 1 juli 2008 zijn ook vrije beroepen verplicht zich in te schrijven in het Handelregister. In 2008 leidde dit tot een toename van het aantal geregistreerde artsen en advocaten en in 2009 van de creatieve beroepen.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4801,Economie en cultuur,Bedrijvigheid functie,BHWP_OVBEDR,Bedrijf: werkzame personen overige bedrijven,Bedrijf: WP overige bedrijven,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'overige bedrijven'. 

De deelfunctie Overige bedrijven valt onder de hoofdfunctie Bedrijven.

Sinds 1 juli 2008 zijn ook vrije beroepen verplicht zich in te schrijven in het Handelregister. In 2008 leidde dit tot een toename van het aantal geregistreerde artsen en advocaten en in 2009 van de creatieve beroepen.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4811,Economie en cultuur,Bedrijvigheid functie,BHWP_LVD,Overig: werkzame personen landbouw/visserij/delfstof,Overig: WP landbouw/visserij/delfstof,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'landbouw / visserij / delfstofwinning'. 

De deelfunctie Landbouw/Visserij/ Delfstoffenwinning valt onder de hoofdfunctie Overig.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4821,Economie en cultuur,Bedrijvigheid functie,BHWP_OVERIG,Overig: werkzame personen overig,Overig: WP overig,"Personen die voor 12 uur of meer per week werkzaam zijn bij vestigingen met de deelfunctie 'overig'. 

De deelfunctie Overig valt onder de hoofdfunctie Overig.

Er worden alleen gegevens verstrekt over gebieden met minimaal 5 vestigingen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4831,Economie en cultuur,Bedrijvigheid sectie,BHVESTA,"Vestigingen A: landbouw, bosbouw en visserij","Vestigingen A: landbouw, bosbouw en visserij","Aantal vestigingen met de sectiecode A: Landbouw, bosbouw en visserij. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.  
",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4841,Economie en cultuur,Bedrijvigheid sectie,BHVESTB,Vestigingen B: winning van delfstoffen,Vestigingen B: winning van delfstoffen,"Aantal vestigingen met de sectiecode B: winning van delfstoffen. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4851,Economie en cultuur,Bedrijvigheid sectie,BHVESTC,Vestigingen C: industrie,Vestigingen C: industrie,"Aantal vestigingen met de sectiecode C: Industrie. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4861,Economie en cultuur,Bedrijvigheid sectie,BHVESTD,Vestigingen D: energiebedrijven,Vestigingen D: energiebedrijven,"Aantal vestigingen met de sectiecode D: Energiebedrijven. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4871,Economie en cultuur,Bedrijvigheid sectie,BHVESTE,Vestigingen E: waterwinning en afvalverwerking,Vestigingen E: waterwinning en afvalverwerking,"Aantal vestigingen met de sectiecode E: Waterwinning en afvalverwerking. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4881,Economie en cultuur,Bedrijvigheid sectie,BHVESTF,Vestigingen F: bouwnijverheid,Vestigingen F: bouwnijverheid,"Aantal vestigingen met de sectiecode F: Bouwnijverheid. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4891,Economie en cultuur,Bedrijvigheid sectie,BHVESTG1,Vestigingen G1: groothandel,Vestigingen G1: groothandel,"Aantal vestigingen met de sectiecode G1: Groothandel. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4901,Economie en cultuur,Bedrijvigheid sectie,BHVESTG2,Vestigingen G2: detailhandel,Vestigingen G2: detailhandel,"Aantal vestigingen met de sectiecode G2: Detailhandel. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4911,Economie en cultuur,Bedrijvigheid sectie,BHVESTH,Vestigingen H: transport en logistiek,Vestigingen H: transport en logistiek,"Aantal vestigingen met de sectiecode H: transport en logistiek. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4921,Economie en cultuur,Bedrijvigheid sectie,BHVESTI,Vestigingen I: horeca,Vestigingen I: horeca,"Aantal vestigingen met de sectiecode I: Horeca. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4931,Economie en cultuur,Bedrijvigheid sectie,BHVESTJ,Vestigingen J: informatie en communicatie,Vestigingen J: informatie en communicatie,"Aantal vestigingen met de sectiecode J: Informatie en communicatie. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.  

Sinds 1 juli 2008 zijn ook vrije beroepen verplicht zich in te schrijven in het Handelregister. In 2008 leidde dit tot een toename van het aantal geregistreerde artsen en advocaten en in 2009 van de creatieve beroepen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4941,Economie en cultuur,Bedrijvigheid sectie,BHVESTK,Vestigingen K: financiële instellingen,Vestigingen K: financiële instellingen,"Aantal vestigingen met de sectiecode K: Financiële instellingen. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.  

Sinds 1 juli 2008 zijn ook vrije beroepen verplicht zich in te schrijven in het Handelregister. In 2008 leidde dit tot een toename van het aantal geregistreerde artsen en advocaten en in 2009 van de creatieve beroepen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4951,Economie en cultuur,Bedrijvigheid sectie,BHVESTL,"Vestigingen L: handel, verhuur onroerend goed","Vestigingen L: handel, verhuur onroerend goed","Aantal vestigingen met de sectiecode L: Handel, verhuur onroerend goed. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4961,Economie en cultuur,Bedrijvigheid sectie,BHVESTM,Vestigingen M: advisering en onderzoek,Vestigingen M: advisering en onderzoek,"Aantal vestingen met de sectiecode M: Advisering en onderzoek. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.  

Sinds 1 juli 2008 zijn ook vrije beroepen verplicht zich in te schrijven in het Handelregister. In 2008 leidde dit tot een toename van het aantal geregistreerde artsen en advocaten en in 2009 van de creatieve beroepen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4971,Economie en cultuur,Bedrijvigheid sectie,BHVESTN,Vestigingen N: overige zakelijke dienstverlening,Vestigingen N: overige zakelijke dienstverlening,"Aantal vestigingen met de sectiecode N: Overige zakelijke dienstverlening. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.  

Sinds 1 juli 2008 zijn ook vrije beroepen verplicht zich in te schrijven in het Handelregister. In 2008 leidde dit tot een toename van het aantal geregistreerde artsen en advocaten en in 2009 van de creatieve beroepen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4981,Economie en cultuur,Bedrijvigheid sectie,BHVESTO,Vestigingen O: overheid,Vestigingen O: overheid,"Aantal vestigingen met de sectiecode O: Overheid. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
4991,Economie en cultuur,Bedrijvigheid sectie,BHVESTP,Vestigingen P: onderwijs,Vestigingen P: onderwijs,"Aantal vestigingen met de sectiecode P: Onderwijs. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
5001,Economie en cultuur,Bedrijvigheid sectie,BHVESTQ,Vestigingen Q: gezondheids- en welzijnszorg,Vestigingen Q: gezondheids- en welzijnszorg,"Aantal vestigingen met de sectiecode Q: Gezondheids- en welzijnszorg. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
5011,Economie en cultuur,Bedrijvigheid sectie,BHVESTR,Vestigingen R: cultuur sport en recreatie,Vestigingen R: cultuur sport en recreatie,"Aantal vestigingen  met de sectiecode R: Cultuur, sport en recreatie. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.  

Sinds 1 juli 2008 zijn ook vrije beroepen verplicht zich in te schrijven in het Handelregister. In 2008 leidde dit tot een toename van het aantal geregistreerde artsen en advocaten en in 2009 van de creatieve beroepen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
5021,Economie en cultuur,Bedrijvigheid sectie,BHVESTS,Vestigingen S: overige dienstverlening,Vestigingen S: overige dienstverlening,"Aantal vestigingen met de sectiecode S: Overige dienstverlening. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.  

Sinds 1 juli 2008 zijn ook vrije beroepen verplicht zich in te schrijven in het Handelregister. In 2008 leidde dit tot een toename van het aantal geregistreerde artsen en advocaten en in 2009 van de creatieve beroepen.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
5031,Economie en cultuur,Bedrijvigheid sectie,BHVESTT,Vestigingen T: huishouden als werkgever,Vestigingen T: huishouden als werkgever,"Aantal vestigingen met de sectiecode T: Huishoudens als werkgever van huishoudelijk personeel en/of niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
5041,Economie en cultuur,Bedrijvigheid sectie,BHVESTU,Vestigingen U: extraterritoriale organisaties,Vestigingen U: extraterritoriale organisaties,"Aantal vestigingen met de sectiecode U: Extraterritoriale organisaties en lichamen. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,2,,,F8.,,9,3,0,0,0
5051,Economie en cultuur,Bedrijvigheid sectie,BHVESTA_P,"% Vestigingen A: landbouw, bosbouw en visserij","% Vestigingen A: landbouw, bosbouw en visserij","Aandeel op het totaal aantal vestigingen van de vestigingen met de sectiecode A: Landbouw, bosbouw en visserij. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
5061,Economie en cultuur,Bedrijvigheid sectie,BHVESTB_P,% Vestigingen B: winning van delfstoffen,% Vestigingen B: winning van delfstoffen,"Aandeel op het totaal aantal vestigingen van de vestigingen met de sectiecode B: winning van delfstoffen. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
5071,Economie en cultuur,Bedrijvigheid sectie,BHVESTC_P,% Vestigingen C: industrie,% Vestigingen C: industrie,"Aandeel op het totaal aantal vestigingen van de vestigingen met de sectiecode C: Industrie. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
5081,Economie en cultuur,Bedrijvigheid sectie,BHVESTD_P,% Vestigingen D: energiebedrijven,% Vestigingen D: energiebedrijven,"Aandeel op het totaal aantal vestigingen van de vestigingen met de sectiecode D: Energiebedrijven. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.  
",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
5091,Economie en cultuur,Bedrijvigheid sectie,BHVESTE_P,% Vestigingen E: waterwinning en afvalverwerking,% Vestigingen E: waterwinning en afvalverwerking,"Aandeel op het totaal aantal vestigingen van de vestigingen met de sectiecode E: Waterwinning en afvalverwerking. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
5101,Economie en cultuur,Bedrijvigheid sectie,BHVESTF_P,% Vestigingen F: bouwnijverheid,% Vestigingen F: bouwnijverheid,"Aandeel op het totaal aantal vestigingen van de vestigingen met de sectiecode F: Bouwnijverheid. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
5111,Economie en cultuur,Bedrijvigheid sectie,BHVESTG1_P,% Vestigingen G1: groothandel,% Vestigingen G1: groothandel,"Aandeel op het totaal aantal vestigingen van de vestigingen met de sectiecode G1: Groothandel. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.  
",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
5121,Economie en cultuur,Bedrijvigheid sectie,BHVESTG2_P,% Vestigingen G2: detailhandel,% Vestigingen G2: detailhandel,"Aandeel op het totaal aantal vestigingen van de vestigingen met de sectiecode G2: Detailhandel. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
5131,Economie en cultuur,Bedrijvigheid sectie,BHVESTH_P,% Vestigingen H: transport en logistiek,% Vestigingen H: transport en logistiek,"Aandeel op het totaal aantal vestigingen van de vestigingen met de sectiecode H: transport en logistiek. 

Een vestiging is een locatie van een door de Kamer van Koophandel geregistreerde onderneming waarin of van waaruit een economische activiteit wordt uitgeoefend voor minimaal 12 uur per week door minimaal één werkzaam persoon.",Bedrijvenregister Amsterdam (ARRA),1  januari,1 keer per jaar,1,%,,F5.1,,1,2,0,0,0
